,CustomerID,frequency,Days_Since_Last_Purchase,Tenure_Days,Monetary_Value,Predicted_Purchases,Predicted_Revenue,CLV,cluster,customer_category
0,12346,1.0,0.0,107.0,174.98174,0.17516114959365586,1488.5234978863089,251.9684018892222,3,Segment4
1,12347,3.0,223.0,282.0,5228.947986666667,1.7961983327866562,2798.6017244359055,4856.521720669728,0,Segment1
2,12348,2.0,119.0,192.0,844.7779700000001,1.6077696176248273,1491.5639662404928,2317.038963032702,3,Segment4
3,12350,1.0,0.0,17.0,1467.4352800000001,2.25913558048889,1659.3024707856734,3623.7149318659804,0,Segment1
4,12356,1.0,0.0,107.0,2007.429,0.17516114959365586,1730.6548018518308,292.9549484866921,3,Segment4
5,12359,1.0,0.0,130.0,784.0332,0.12200862503981423,1569.000806789543,184.98973682933752,3,Segment4
6,12370,2.0,30.0,219.0,4029.64241,0.4566667868625925,2234.9972526006595,986.1291687604685,2,Segment3
7,12373,1.0,0.0,24.0,595.56606,1.6053466120613396,1544.0976101961237,2396.1443581462486,3,Segment4
8,12377,2.0,139.0,179.0,5622.45033,1.8122056307432257,2606.8015942969428,4564.452553607754,2,Segment3
9,12383,4.0,72.0,171.0,1466.2748900000001,2.49642637313644,1604.3967471332312,3869.8149395857054,0,Segment1
10,12386,2.0,123.0,279.0,340.20079,0.9854324594406138,1373.7820391862456,1307.929403366209,3,Segment4
11,12388,1.0,0.0,114.0,909.8165,0.1559328746027302,1585.621243901652,238.9371517471453,3,Segment4
12,12393,2.0,14.0,136.0,1198.7521900000002,0.7053774588038813,1574.191099237518,1072.9389059464047,3,Segment4
13,12395,3.0,161.0,325.0,573.7505466666668,1.300183784097029,1338.9855999048002,1681.9058278763305,3,Segment4
14,12402,1.0,0.0,94.0,676.1233,0.22115420577964962,1554.7420800211726,332.2908888795089,3,Segment4
15,12410,1.0,0.0,10.0,2725.0742,3.3835182001805286,1825.4811970522023,5971.053046445894,0,Segment1
16,12413,2.0,22.0,153.0,1717.27263,0.7823624003982418,1695.2277593580097,1281.5103707081696,3,Segment4
17,12414,2.0,1.0,18.0,348.98575,8.151747217118622,1375.8326858641126,10840.748113386844,0,Segment1
18,12415,3.0,18.0,158.0,1098.0797433333335,0.39321405536044546,1503.3866505328715,571.1779386842568,3,Segment4
19,12417,3.0,114.0,188.0,674.8960133333334,2.4205828856248885,1370.6993039899035,3205.682773583262,0,Segment1
20,12421,1.0,0.0,76.0,2075.89838,0.31963143598089866,1739.7020364560676,537.4138776831774,3,Segment4
21,12422,2.0,1.0,103.0,503.60888,0.49803065492920146,1411.9258960615284,679.4971093611521,3,Segment4
22,12423,1.0,0.0,172.0,882.5946600000001,0.07106187754134062,1582.0242729222302,108.63181789596746,3,Segment4
23,12427,2.0,163.0,333.0,767.0590400000001,0.8768178482650978,1473.422271160279,1248.14271832163,3,Segment4
24,12429,1.0,0.0,262.0,2914.1522800000002,0.030388819702762984,1850.4651204976701,54.333029092062375,3,Segment4
25,12431,5.0,323.0,363.0,1234.340616,2.379424464108701,1492.2084378687227,3430.121042575227,0,Segment1
26,12433,3.0,91.0,356.0,6330.491213333334,0.5086163845487962,3143.9856262432345,1544.8506531173095,2,Segment3
27,12434,1.0,0.0,222.0,50.77759999999999,0.04265161481108937,1472.111723843701,60.66803989174827,3,Segment4
28,12437,3.0,112.0,129.0,918.3887933333334,3.6937134652617565,1447.0453650271998,5164.5581405897865,0,Segment1
29,12441,2.0,1.0,278.0,826.8893400000001,0.030753051134901427,1487.388277372121,44.19289196204178,3,Segment4
30,12451,1.0,0.0,103.0,10932.28554,0.1877158536616818,2909.9450324123636,527.8882149103267,2,Segment3
31,12464,1.0,0.0,13.0,1096.3022,2.8197662139382413,1610.2626219634267,4389.413362904356,0,Segment1
32,12468,1.0,0.0,51.0,1560.99244,0.6042533955024602,1671.6646913202558,976.3081739763019,3,Segment4
33,12471,11.0,332.0,347.0,1410.695331818182,5.428959977394817,1514.5613049462472,7943.434487987909,0,Segment1
34,12472,3.0,292.0,354.0,4457.564566666667,1.4635461396556937,2556.737938304431,3615.0021920874738,2,Segment3
35,12474,6.0,240.0,300.0,1219.1057899999998,3.318079178751906,1464.4174560984522,4694.275148149626,0,Segment1
36,12476,2.0,194.0,227.0,1717.7305000000001,1.4883030754074393,1695.3346385691154,2437.819077825554,3,Segment4
